City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
zhovtneve,50.6637,24.2492,67.03,69,9,5.55,UA,1626040070
bluff,-46.6,168.3333,43.84,83,100,15.41,NZ,1626040070
luderitz,-26.6481,15.1594,54.45,83,12,4.99,NA,1626040071
sivas,39.7916,37.0019,59.63,94,0,3.44,TR,1626040071
mar del plata,-38.0023,-57.5575,55.87,57,0,10.0,AR,1626039887
kaka,37.3482,59.6143,82.49,29,5,0.45,TM,1626040071
arraial do cabo,-22.9661,-42.0278,69.66,83,0,5.75,BR,1626039864
lakinsk,56.0193,39.9485,61.43,72,0,5.68,RU,1626039973
punta arenas,-53.15,-70.9167,35.71,80,20,36.82,CL,1626040071
rikitea,-23.1203,-134.9692,73.71,82,48,21.72,PF,1626040072
airai,-8.9266,125.4092,55.18,55,99,4.21,TL,1626040072
almaznyy,48.0448,40.045,68.14,74,10,7.45,RU,1626040072
dikson,73.5069,80.5464,33.6,99,100,15.37,RU,1626040072
albany,42.6001,-73.9662,69.37,93,100,4.56,US,1626040041
victoria point,-27.5833,153.3,60.19,86,19,1.01,AU,1626040073
hobart,-42.8794,147.3294,41.27,91,75,4.0,AU,1626039844
kodiak,57.79,-152.4072,51.31,82,90,14.97,US,1626040073
nikolskoye,59.7035,30.7861,69.69,85,1,4.38,RU,1626040073
atuona,-9.8,-139.0333,77.23,80,46,25.08,PF,1626040073
ormara,25.2088,64.6357,82.13,84,84,6.82,PK,1626040074
barranca,-10.75,-77.7667,65.64,76,30,6.58,PE,1626040074
kisanga,-7.4362,37.7034,67.71,88,26,2.42,TZ,1626040074
grand-santi,4.25,-54.3833,74.32,95,88,4.0,GF,1626040074
kapit,2.0167,112.9333,72.72,100,93,1.12,MY,1626040074
cidreira,-30.1811,-50.2056,60.3,90,0,6.08,BR,1626040075
dingle,10.9995,122.6711,76.75,90,40,4.88,PH,1626040075
verkhnyachka,48.8285,30.0396,67.53,73,5,5.75,UA,1626040075
busselton,-33.65,115.3333,55.04,93,100,22.28,AU,1626040075
unity,52.4501,-109.1682,64.69,70,100,12.77,CA,1626040076
sao filipe,14.8961,-24.4956,72.55,75,65,7.02,CV,1626040076
ramshir,30.8946,49.4092,96.55,8,0,12.35,IR,1626040076
ixtapa,20.7,-105.2,89.22,77,98,5.99,MX,1626040076
saldanha,-33.0117,17.9442,46.45,89,3,10.67,ZA,1626040077
bereda,43.2686,-7.5406,59.41,86,99,3.11,ES,1626040077
camacha,33.0833,-16.3333,70.56,78,40,12.66,PT,1626040077
nouadhibou,20.931,-17.0347,69.78,88,0,9.22,MR,1626040077
nakamura,32.9833,132.9333,74.91,93,100,3.74,JP,1626040078
maumere,-8.6199,122.2111,75.67,69,35,4.61,ID,1626040078
jamestown,42.097,-79.2353,69.39,97,90,5.01,US,1626039928
arrecife,28.963,-13.5477,75.18,78,0,17.27,ES,1626040078
charlestown,-32.95,151.6667,48.69,97,91,1.01,AU,1626040078
saint anthony,45.0205,-93.218,88.79,38,1,1.99,US,1626040079
butaritari,3.0707,172.7902,82.31,75,88,11.99,KI,1626040079
andenes,69.3143,16.1194,58.06,94,40,6.91,NO,1626040079
mahebourg,-20.4081,57.7,71.26,78,75,12.66,MU,1626040079
new norfolk,-42.7826,147.0587,40.91,87,100,2.71,AU,1626040079
khatanga,71.9667,102.5,48.87,46,90,7.47,RU,1626040080
broome,42.2506,-75.833,68.02,89,100,1.99,US,1626040080
esperance,-33.8667,121.9,44.44,76,71,16.4,AU,1626040080
ugoofaaru,5.6667,73.0,81.79,80,100,16.62,MV,1626040081
saskylakh,71.9167,114.0833,46.44,46,39,14.36,RU,1626040081
mataura,-46.1927,168.8643,36.84,88,100,2.62,NZ,1626040081
atotonilco el grande,20.2833,-98.6667,66.79,67,99,11.63,MX,1626040082
joura,26.3411,77.8115,88.07,65,100,12.19,IN,1626040082
vetluzhskiy,58.3902,45.4654,56.03,75,2,3.36,RU,1626040082
khash,28.2211,61.2158,84.24,23,37,2.64,IR,1626040082
jamame,0.0722,42.7506,74.53,84,53,12.53,SO,1626040083
mitzic,0.7821,11.549,68.79,93,44,3.83,GA,1626040083
shatrovo,56.5167,64.6333,51.8,74,100,11.1,RU,1626040083
hithadhoo,-0.6,73.0833,81.19,71,49,2.21,MV,1626040083
carnarvon,-24.8667,113.6333,66.27,87,75,12.66,AU,1626040083
east london,-33.0153,27.9116,65.91,27,0,8.3,ZA,1626039856
port elizabeth,-33.918,25.5701,46.69,81,40,5.75,ZA,1626040081
netrakona,24.8833,90.7167,81.03,79,100,3.13,BD,1626040084
yenagoa,4.9247,6.2642,74.8,92,100,4.56,NG,1626040084
samarai,-10.6167,150.6667,79.5,85,72,13.13,PG,1626040084
mancio lima,-7.6142,-72.8958,75.27,100,75,12.66,BR,1626040085
wukari,7.85,9.7833,75.31,87,42,6.35,NG,1626040085
hermanus,-34.4187,19.2345,52.66,68,55,9.28,ZA,1626040085
alice springs,-23.7,133.8833,44.15,61,6,3.44,AU,1626039792
anadyr,64.75,177.4833,59.5,72,0,4.0,RU,1626040085
mutoko,-17.397,32.2268,52.18,77,39,4.74,ZW,1626040086
chokurdakh,70.6333,147.9167,40.42,81,100,16.2,RU,1626040086
sechura,-5.5569,-80.8222,73.4,66,54,14.79,PE,1626040086
belyy yar,53.6039,91.3903,55.29,88,0,2.24,RU,1626040086
ganzhou,28.8184,115.4327,77.09,83,83,5.44,CN,1626040087
lebu,-37.6167,-73.65,49.35,74,12,14.09,CL,1626040087
mildura,-34.2,142.15,48.16,57,75,9.22,AU,1626040087
port alfred,-33.5906,26.891,64.06,30,0,8.37,ZA,1626040087
saint george,37.1041,-113.5841,113.47,14,1,5.99,US,1626039904
mehkar,20.1508,76.569,78.04,83,100,6.58,IN,1626040088
helong,42.5397,128.9972,69.15,93,5,3.36,CN,1626040088
ribeira grande,38.5167,-28.7,67.71,71,100,17.22,PT,1626040026
beloha,-25.1667,45.05,62.92,90,0,4.94,MG,1626040088
kushima,31.4583,131.2333,78.84,87,100,4.38,JP,1626040088
changji,44.0167,87.3167,68.79,73,75,11.18,CN,1626040089
kargasok,59.0556,80.8572,51.48,80,99,4.05,RU,1626040089
helena,46.5927,-112.0361,97.25,17,1,13.0,US,1626039840
staryy nadym,65.6118,72.6842,48.16,76,92,10.78,RU,1626040089
sobolevo,54.4299,31.8996,69.37,75,76,5.75,RU,1626040089
saint-augustin,51.226,-58.6502,58.28,89,100,3.24,CA,1626040090
cherskiy,68.75,161.3,80.58,35,7,25.14,RU,1626040090
naze,28.3667,129.4833,77.92,85,100,6.76,JP,1626040090
umm lajj,25.0213,37.2685,86.36,54,6,7.54,SA,1626040090
puerto ayora,-0.7393,-90.3518,78.76,82,27,8.01,EC,1626040091
huilong,31.8111,121.655,80.98,90,100,8.25,CN,1626040091
worthing,50.8145,-0.3713,59.99,87,100,3.0,GB,1626039960
hovd,48.0056,91.6419,63.14,48,100,7.56,MN,1626040091
cascais,38.6979,-9.4215,67.51,72,4,8.01,PT,1626040091
faanui,-16.4833,-151.75,79.29,79,26,18.77,PF,1626040092
ushuaia,-54.8,-68.3,33.46,86,40,21.85,AR,1626039887
hotaka,36.3396,137.8825,71.4,88,99,2.35,JP,1626040092
dengzhou,37.8086,120.7508,76.98,84,100,6.82,CN,1626040092
omsukchan,62.5333,155.8,56.26,75,89,11.01,RU,1626040092
saint-philippe,-21.3585,55.7679,67.55,77,59,11.21,RE,1626040092
aranos,-24.1333,19.1167,54.39,28,0,13.65,NA,1626040093
tuktoyaktuk,69.4541,-133.0374,53.6,82,90,24.16,CA,1626040093
katsuura,35.1333,140.3,79.11,86,65,3.04,JP,1626040093
flin flon,54.7682,-101.865,87.64,37,75,9.22,CA,1626040094
shalya,57.2471,58.7298,46.99,80,14,4.05,RU,1626040094
sandwick,60.0,-1.25,57.02,94,90,2.3,GB,1626040094
paamiut,61.994,-49.6678,43.7,93,100,6.44,GL,1626040094
namie,37.4833,141.0,74.71,95,9,2.01,JP,1626040094
auki,-8.7676,160.7034,81.39,76,99,2.91,SB,1626040095
vaini,-21.2,-175.2,77.16,94,20,10.36,TO,1626040095
grand gaube,-20.0064,57.6608,71.38,73,30,8.01,MU,1626040095
syracuse,37.0881,15.2792,77.9,71,0,7.09,IT,1626040095
mufulira,-12.5498,28.2407,43.0,64,15,4.94,ZM,1626040096
coahuayana,18.7333,-103.6833,86.49,70,94,5.37,MX,1626040096
manzhouli,49.6,117.4333,64.26,71,98,5.95,CN,1626040096
havoysund,70.9963,24.6622,58.08,80,4,13.4,NO,1626040096
awjilah,29.1081,21.2869,81.21,63,0,14.74,LY,1626040097
cape town,-33.9258,18.4232,54.12,83,75,12.66,ZA,1626039926
thompson,55.7435,-97.8558,73.56,60,75,16.11,CA,1626040097
vavuniya,8.7514,80.4971,78.57,77,100,9.51,LK,1626040097
tutoia,-2.7619,-42.2744,80.2,80,92,11.23,BR,1626040097
avarua,-21.2078,-159.775,80.65,74,75,11.5,CK,1626040098
pisco,-13.7,-76.2167,65.01,82,20,9.22,PE,1626040098
kurtamysh,54.9103,64.4319,54.52,95,100,17.81,RU,1626040098
gisborne,-38.6533,178.0042,50.67,63,100,11.61,NZ,1626040098
saryg-sep,51.5,95.6,53.44,85,52,2.46,RU,1626040099
dicabisagan,17.0818,122.4157,79.99,86,100,0.85,PH,1626040099
yar-sale,66.8333,70.8333,42.67,65,72,7.58,RU,1626040099
asfi,32.2994,-9.2372,79.95,57,98,3.83,MA,1626040099
barrow,71.2906,-156.7887,33.82,73,90,11.5,US,1626040100
shelbyville,35.4834,-86.4603,83.01,89,75,11.5,US,1626040088
obo,5.3998,26.4869,66.96,98,100,3.65,CF,1626040100
ust-tsilma,65.441,52.1498,40.42,87,27,3.96,RU,1626040100
severo-kurilsk,50.6789,156.125,53.56,92,100,7.05,RU,1626040100
port lincoln,-34.7333,135.8667,56.59,78,85,17.31,AU,1626039916
ararat,39.8317,44.7049,75.54,47,7,8.72,AM,1626040101
tingo maria,-9.2895,-76.0088,73.92,94,44,1.16,PE,1626040101
dahra,36.2546,0.8519,97.99,45,3,6.46,DZ,1626040101
talnakh,69.4865,88.3972,45.27,92,100,10.67,RU,1626040101
pontianak,-0.0333,109.3333,75.18,100,75,1.14,ID,1626040102
juegang,32.3174,121.1855,79.65,90,100,7.23,CN,1626040102
shahe,39.2708,113.5478,65.5,95,100,3.15,CN,1626040102
lompoc,34.6391,-120.4579,98.69,59,1,14.97,US,1626040102
tulucesti,45.5667,28.0333,68.34,72,31,6.02,RO,1626040103
labuan,5.2767,115.2417,77.16,100,40,0.0,MY,1626040103
jumla,29.2747,82.1838,61.83,96,100,3.31,NP,1626040103
hilo,19.7297,-155.09,78.8,75,40,9.22,US,1626040103
